Team,Conference,plays,drives,ppa,totalPPA,successRate,explosiveness,powerSuccess,stuffRate,lineYards,lineYardsTotal,secondLevelYards,secondLevelYardsTotal,openFieldYards,openFieldYardsTotal,standardDowns_ppa,standardDowns_successRate,standardDowns_explosiveness,passingDowns_ppa,passingDowns_successRate,passingDowns_explosiveness,rushingPlays_ppa,rushingPlays_totalPPA,rushingPlays_successRate,rushingPlays_explosiveness,passingPlays_ppa,passingPlays_totalPPA,passingPlays_successRate,passingPlays_explosiveness
Memphis,American,65.53846154,12.53846154,0.143979186,10.44916174,0.412651765,1.354252765,0.522069597,0.212831948,2.913337993,94.30769231,1.12321542,36.07692308,1.526467596,48.53846154,0.117420643,0.462692271,1.171581096,0.182305653,0.286736127,2.205790666,0.13554091,5.188994367,0.429202269,1.028892293,0.190491288,6.935775033,0.406259382,1.633197131
Miami,ACC,60.46153846,11.76923077,0.125155195,8.206062013,0.374496395,1.355082286,0.715501166,0.249139011,2.553532681,74.38461538,0.936409398,28.61538462,0.961507161,29.66666667,0.030266789,0.4184792,1.064373348,0.307338752,0.284378561,2.12300314,0.021825935,1.580006017,0.352368732,0.965144557,0.203115023,6.993900787,0.382673036,1.630885866
Miami (OH),MAC,65.42857143,11.64285714,0.094239084,6.516540282,0.398737897,1.122224943,0.775,0.133511703,3.197729376,105.2857143,1.004135925,32.64285714,0.685135451,25.71428571,0.079413499,0.467088667,0.965638316,0.134461929,0.250079381,1.796619824,0.052600092,1.931534112,0.397112316,0.884699094,0.194467713,5.999817241,0.407956222,1.367208322
Michigan,Big Ten,56.8,11.33333333,0.000346911,0.043619356,0.341035381,1.214714101,0.675925926,0.192171612,2.640101212,72.53333333,0.830870896,23.73333333,0.867179559,22.25,-0.048019629,0.385006554,1.097752869,0.070319765,0.253295969,1.588361777,-0.051218537,-0.963090558,0.345972422,0.861649643,0.03154186,1.599252209,0.329513474,1.566402282
Michigan State,Big Ten,65.83333333,12,0.176284639,12.43894771,0.430096803,1.168014021,0.810416667,0.158166637,3.135546419,107.0833333,1.017541899,34.58333333,1.131391537,38.33333333,0.101501172,0.481746425,0.95497694,0.360222206,0.313513598,1.93715423,0.116556638,4.712218835,0.430814766,0.873332595,0.286995944,9.829726742,0.431559518,1.470420602
Middle Tennessee,C-USA,70.91666667,12.66666667,0.174568942,12.07906425,0.430029482,1.217543905,0.717261905,0.196194966,2.854059018,100.75,0.948727322,35.41666667,1.093962683,41.18181818,0.083159893,0.472044781,0.938832319,0.356244467,0.322031885,2.122926025,0.024517908,2.228018934,0.421632386,0.793042049,0.330179014,11.4255363,0.431053575,1.572853691
Minnesota,Big Ten,62,11.53846154,0.203461581,13.82305173,0.4237301,1.255462339,0.808058608,0.16056878,3.04908697,93,1.023462452,31.15384615,1.475685956,46.33333333,0.111960559,0.467865316,1.023823004,0.392455995,0.316141636,1.960248375,0.166350029,5.688928413,0.430253331,0.981325178,0.292778357,9.443290969,0.433490895,1.51897543
Mississippi State,SEC,65.25,11.58333333,0.154674667,10.69426744,0.415496637,1.222259638,0.741269841,0.190834239,2.947078288,104.3333333,1.077873143,37.75,0.908732935,33.91666667,0.049054049,0.467290392,0.973178893,0.394732974,0.297809611,2.16473855,0.075190224,3.329069473,0.411450764,0.90695708,0.279318788,8.482022957,0.421049649,1.612929081
Missouri,SEC,62.76923077,11.38461538,0.130947186,8.418748078,0.369254643,1.338832437,0.708974359,0.224931464,2.713295086,80.76923077,1.161342577,34.53846154,1.227100232,38.91666667,0.097986097,0.426782685,1.174290903,0.178161005,0.26031776,1.73856546,0.046700622,1.681967704,0.350474201,1.078343584,0.230049694,7.388968039,0.386701163,1.561979958
Navy,American,62.5,11.91666667,0.124624913,7.893163908,0.396415687,1.242714721,0.634424603,0.213901545,2.74555965,88.41666667,0.959230888,29.83333333,0.918045438,26.18181818,0.027927644,0.444151541,0.985847887,0.367653498,0.291795779,2.531458909,-0.005511942,0.002263769,0.358566152,0.831581995,0.421928582,9.032973657,0.453389603,1.770021891
Nebraska,Big Ten,63.66666667,11.91666667,0.085161848,5.820410908,0.375023219,1.159939544,0.756944444,0.120596457,3.091715982,88.33333333,0.772573946,22.75,0.670578082,20.8,-0.004783838,0.435306722,0.883491124,0.277753942,0.269560802,2.103257595,-0.00952577,0.863411465,0.352297659,0.747192478,0.190613257,6.578091319,0.3940509,1.450261173
Nevada,Mountain West,64.45454545,12.36363636,0.25617647,16.21774925,0.471809003,1.31660394,0.738095238,0.152757662,3.295186605,109.6363636,1.293107913,41.72727273,2.060565469,58.54545455,0.218516685,0.543762513,1.137764119,0.349010686,0.305451244,2.024784525,0.223303878,6.70877,0.477850042,1.112849004,0.329091052,10.41784102,0.46658954,1.686047076
New Mexico,Mountain West,57.90909091,10.90909091,0.312637491,16.83486269,0.475268075,1.290897297,0.657359307,0.16402664,3.38858408,103.6363636,1.223876445,37.54545455,1.43673508,46.1,0.269251749,0.505141955,1.139575969,0.414256833,0.3735869,1.762023447,0.190415774,6.152239059,0.476234796,0.883025654,0.503483025,11.33025376,0.466907695,1.877088389
North Carolina,ACC,69.38461538,12.15384615,0.185530388,13.48149341,0.411647725,1.305595596,0.797680098,0.141655076,3.215745205,114.7692308,1.133266175,39.30769231,1.193086272,41.69230769,0.0844949,0.44544727,1.076573122,0.350468994,0.335584431,1.892705429,0.162047124,6.325489379,0.415856408,1.022881431,0.276165788,9.251885908,0.413283244,1.567144886
North Texas,American,69.91666667,12.66666667,0.334622594,22.82938448,0.483614987,1.303876924,0.780112943,0.14460969,3.479538662,147,1.241774469,51.16666667,1.934682869,78.5,0.310869616,0.533229914,1.154759481,0.394842711,0.327590093,1.998067015,0.354685446,14.50733826,0.509305661,1.164398721,0.37331504,9.886522659,0.451140344,1.59015098
Northern Illinois,MAC,61.92307692,11.53846154,0.12678831,7.918804684,0.399158137,1.146753442,0.726923077,0.128934711,3.246026324,110.8461538,0.987489462,34.38461538,0.934877578,36,0.056660632,0.465822574,0.913748974,0.284528793,0.251308811,2.101867143,0.122994725,4.659644911,0.43021254,0.918351905,0.192015653,4.230897075,0.375270193,1.428898581
Northwestern,Big Ten,65.69230769,11.53846154,0.132504974,8.70014307,0.428734519,1.127042178,0.746125669,0.154337598,3.133370309,112.1538462,0.997680738,35.38461538,1.137948543,41.30769231,0.073298126,0.473716451,0.952124991,0.283687012,0.318910171,1.819371298,0.092056021,3.302606941,0.435481322,0.893295202,0.20698117,6.306634284,0.428381996,1.407844949
Notre Dame,Independent,61.46153846,11.92307692,-0.00423858,0.237212745,0.33975947,1.274150392,0.603663004,0.223959172,2.654100068,83.92307692,0.884436318,27.46153846,1.050290009,33.75,-0.094024357,0.389425826,1.070918198,0.127669319,0.231782035,1.879129097,-0.011823499,0.932436748,0.336567262,1.028479072,-0.014739167,0.88360286,0.317159145,1.551863814
Ohio,MAC,56.23076923,10.92307692,0.031518838,1.939948119,0.351265542,1.31321125,0.701709402,0.209073926,2.610365602,65.84615385,0.908834086,22.61538462,1.411889051,35.76923077,-0.067050597,0.414936197,1.091114598,0.239109763,0.251523202,1.945825114,-0.05023728,-0.903708722,0.359480075,1.055066192,0.162288173,4.196378341,0.362374001,1.551689584
Ohio State,Big Ten,63.15384615,11.53846154,0.010303724,0.522925468,0.35570128,1.121918496,0.56031746,0.15611003,2.956495297,97.15384615,0.829497069,28.07692308,0.719637419,24,-0.029441371,0.404818217,0.920319831,0.083500304,0.249968758,1.904977806,0.027001495,1.26425368,0.35182984,0.951113204,0.02118145,-0.259753391,0.371845599,1.326759752
Oklahoma,Big 12,69.92307692,12.38461538,0.079916778,6.107842943,0.373440558,1.43277832,0.528846154,0.266675774,2.574307542,85.23076923,1.065522608,35.46153846,1.18062916,39.30769231,-0.029205236,0.41667554,1.102033807,0.278325417,0.293171316,2.196173706,0.017080612,1.059040098,0.369813742,1.052373811,0.162221208,6.248354533,0.376947592,1.805127094
Oklahoma State,SEC,66.92857143,12.92857143,0.25427227,17.24977178,0.399534758,1.526603169,0.695238095,0.196324168,2.988477939,102.6428571,1.190020214,40.57142857,1.496695039,52.78571429,0.223125693,0.462437675,1.252144351,0.297549416,0.286840061,2.194570502,0.133609204,5.040801132,0.3942333,1.140053289,0.398101353,12.75217895,0.405489839,1.923999984
Old Dominion,Sun Belt,73.84615385,12.69230769,0.118533119,8.691559092,0.436407341,1.117878459,0.746520147,0.184715278,2.830388375,109.4615385,0.865513121,33.84615385,0.721281152,28.69230769,0.060929165,0.48509197,0.885970634,0.269914837,0.301547055,2.093133271,-0.014655283,-0.588407989,0.417574642,0.712771139,0.304157384,10.35679488,0.460318733,1.521304311
Ole Miss,SEC,67.58333333,12,0.144757926,9.896147722,0.413054201,1.2516255,0.858498677,0.151877498,3.151860379,111,1.156667929,40.08333333,1.253880427,42.58333333,0.127291823,0.475870973,1.067861235,0.210326934,0.282635451,1.924966638,0.138724345,4.836500655,0.438530489,0.975501025,0.156573517,6.595940221,0.384691362,1.538788302
Oregon,Big Ten,63.35714286,10.92857143,0.073733612,4.799233053,0.378932449,1.233811464,0.707936508,0.166094197,3.210931495,81.78571429,1.009914148,24.85714286,0.969233722,24.38461538,0.004371717,0.426276223,1.04818749,0.207761271,0.27610314,1.842959083,0.134703225,2.783893818,0.421797365,0.980000321,0.072899988,3.189724148,0.367120722,1.419509414
Oregon State,Pac-2,63.61538462,11,0.133438709,8.721052441,0.420827075,1.292582472,0.805586081,0.19905178,2.692764515,81.38461538,0.967456151,29.38461538,0.907929937,29.25,0.024253146,0.452145647,1.034290757,0.363526425,0.355822674,1.989065449,0.045218493,2.295601761,0.426791227,0.934522801,0.269082495,8.453990161,0.415490116,1.615554558
Penn State,Big Ten,57.83333333,12.25,-0.050845195,-1.076910018,0.29630975,1.378386253,0.626388889,0.278197907,1.982841958,63.41666667,0.734020046,23.36363636,0.767181946,21.90909091,-0.209228654,0.32456015,1.033659846,0.175505619,0.246094795,2.132840964,-0.118403102,-1.581448609,0.277147948,1.141469565,0.067950619,3.064892382,0.329852384,1.67954676
Pittsburgh,ACC,66.08333333,12,0.114977665,8.190372819,0.385160874,1.358002746,0.579563492,0.223978558,2.806074963,110.4166667,0.898490817,36.25,0.938970776,37.83333333,0.031511051,0.423083059,1.123384222,0.278207427,0.300088608,2.115923417,0.015957917,1.477900318,0.366792779,0.945511939,0.275625079,8.065461282,0.404295725,1.77513597
Purdue,Big Ten,66,13.08333333,0.175866304,12.34290292,0.395905095,1.395186238,0.649603175,0.191176727,2.925126962,98.41666667,0.965725797,32.33333333,1.398631946,48.75,0.092743493,0.439967536,1.119580347,0.331352494,0.298861212,2.179443401,0.057589004,2.686431752,0.40373532,0.948662737,0.317558196,10.23308907,0.391604395,1.865890353
Rice,American,63.30769231,12,0.14303717,9.076399257,0.395030082,1.275735103,0.773443223,0.156816183,3.023736578,99.23076923,1.041898225,33.15384615,1.590849106,50.30769231,0.078888122,0.451151378,1.029482783,0.265820176,0.288923156,1.926496358,0.16222624,5.267968194,0.416733715,1.033855767,0.199611326,5.383352511,0.390470611,1.566754442
Rutgers,Big Ten,62,10.69230769,0.139542643,8.827247615,0.442896352,1.019055116,0.674725275,0.130741,3.172784749,104.4615385,0.958331248,31.92307692,0.663686995,21.76923077,0.131935048,0.508963829,0.844014584,0.19194685,0.295005522,1.737582166,0.118156299,4.173121193,0.474705263,0.790004234,0.20982809,6.119267391,0.410210635,1.304118781
SMU,ACC,62.64285714,12.64285714,0.015410622,0.722194525,0.348194613,1.293282519,0.703571429,0.201051194,2.861903177,87.14285714,0.933789877,29.78571429,0.971937891,32.33333333,-0.023660969,0.417794157,1.055721873,0.112358218,0.22576911,2.161228427,0.052106987,1.627359557,0.364701488,0.982082378,0.051216285,0.516460298,0.354806881,1.569682904
San Diego State,Mountain West,65.16666667,11.58333333,0.255632611,15.86705251,0.476139045,1.177018986,0.79265873,0.122722314,3.446445777,109.3333333,1.201430963,37.75,1.392529025,44.91666667,0.218465343,0.5325432,0.995556418,0.354401667,0.320773683,1.939189226,0.271616785,8.584364419,0.539765437,0.899573148,0.431347336,8.735969254,0.459945076,1.583251778
South Alabama,Sun Belt,61.38461538,11.61538462,0.114287546,7.22908305,0.372069862,1.261963797,0.781318681,0.163238025,2.826438682,92.23076923,0.850633875,28.15384615,0.691926829,23.61538462,0.0637656,0.432246709,1.025987133,0.198923492,0.262790144,1.989932205,0.029397531,0.678365744,0.365006063,0.947967279,0.337031967,7.500637699,0.412917875,1.627457259
South Carolina,SEC,70.33333333,12.58333333,0.190717345,13.5577313,0.434330001,1.205445431,0.767724868,0.131044846,3.152012378,114.5,0.967012923,35.25,0.841254043,30.18181818,0.148062875,0.493508776,0.957581156,0.302398452,0.294631604,2.197040913,0.150173134,5.482657523,0.446431083,0.889632693,0.2759182,10.2391888,0.425377141,1.544261705
South Florida,American,70.07692308,13.76923077,0.183187991,14.0582171,0.375728953,1.524031592,0.55989011,0.235977735,2.552144736,88.61538462,1.039562371,35.69230769,1.433540941,52.5,0.101109359,0.426952006,1.271162264,0.353691671,0.284824695,2.384623131,0.052278134,1.979054549,0.369344214,1.192226897,0.33566827,13.18469032,0.374374671,1.94731207
Southern Mississippi,Sun Belt,61.08333333,12.5,0.248289423,16.13578425,0.42065042,1.507219026,0.683531746,0.145675692,3.318847074,109.4166667,1.190683431,39.41666667,1.784759433,60.66666667,0.165974706,0.453776703,1.266689217,0.436506097,0.348778781,2.29875775,0.242265124,8.446974921,0.422732406,1.246068116,0.319510206,9.221757926,0.428829221,1.872678121
Stanford,ACC,69.81818182,12.18181818,0.33927576,23.24884414,0.516041096,1.273930847,0.683333333,0.171811853,3.218223727,109.8181818,1.167804438,40.72727273,1.288532316,43.4,0.219383204,0.556375776,1.02264178,0.615216952,0.413081568,2.082393386,0.191494392,7.517499809,0.518354953,0.923227686,0.466390375,16.30125181,0.493655584,1.635968639
Syracuse,ACC,69,12,0.157718575,11.50444809,0.422468456,1.172793071,0.807142857,0.182339457,2.995633487,108.5,0.938800773,34.66666667,0.653256422,24,0.133093041,0.480218663,1.018114526,0.226356819,0.297475994,1.690353311,0.090576407,3.812552226,0.455402619,0.819171563,0.227782048,7.998436961,0.387562542,1.632425109
TCU,Big 12,68.16666667,11.83333333,0.153696614,13.75937905,0.418505108,1.270512772,0.707638889,0.168083381,3.070017004,109.5,0.932408796,35.33333333,0.961700269,37,0.105049861,0.461401677,1.060849332,0.301992112,0.341450587,1.705944495,0.113895133,5.40320946,0.420606846,0.950340473,0.250441076,9.815029384,0.421005827,1.576717634
Temple,American,69.25,11.83333333,0.280996733,20.14981009,0.446566314,1.277051725,0.851190476,0.148189038,3.245889599,131.9166667,1.166082792,47.75,1.155087887,47.41666667,0.219487995,0.494845465,1.053142653,0.446646516,0.337330991,2.142754605,0.175300208,7.318454945,0.456644113,0.902511862,0.442672379,13.01947856,0.439341902,1.850735091
Tennessee,SEC,66.84615385,12.30769231,0.087699881,6.20758679,0.37483964,1.319699651,0.656410256,0.177648544,2.791326436,90.23076923,0.948781226,30.53846154,1.099687229,35.30769231,-0.027461102,0.414820057,1.064710782,0.295551056,0.303970591,1.958645129,0.050102441,1.912266661,0.361802286,1.019260228,0.16804517,5.208535732,0.401649454,1.5296186
Texas,SEC,62.71428571,12,0.100858007,6.169154748,0.374367204,1.323877784,0.523214286,0.24719097,2.344664623,63.57142857,0.684022195,19,0.753609192,23.2,-0.017037533,0.412484196,1.024930091,0.322231157,0.297387375,2.146567944,-0.095066732,-1.15646843,0.32100802,0.714146921,0.244853176,8.378453367,0.409149091,1.603618987
Texas A&M,SEC,59.76923077,11.46153846,0.080431309,4.816134038,0.358861428,1.361466417,0.473076923,0.220420936,2.556945557,72.38461538,1.061286704,31,1.256345355,33.30769231,0.02400948,0.420093536,1.043508866,0.175243349,0.256627238,2.205540686,-0.02331311,-1.056450269,0.344615238,0.948869461,0.211688066,7.815966626,0.365590518,1.769669391
Texas State,Sun Belt,67.84615385,12,0.190413886,12.64264118,0.412724526,1.458239961,0.473717949,0.202674653,2.922846791,100.7692308,1.313550767,45,1.35621403,46.30769231,0.053377728,0.438273163,1.199997177,0.458714717,0.368190772,2.04766504,0.120057683,4.74645132,0.388552058,1.190812757,0.293792537,8.915494261,0.434310347,1.676163909
